"MONTH_ID","PROV_ID","USER_ID","SERVICE_TYPE","STDEV_CDR_NUM","VAR_CDR_NUM","STDEV_CALLING_CDR_NUM","VAR_CALLING_CDR_NUM","STDEV_CALL_DURATION","VAR_CALL_DURATION","STDEV_CALLING_DURATION","VAR_CALLING_DURATION","STDEV_MOBILE_TIME","VAR_MOBILE_TIME","STDEV_CALLING_MOBILE_TIME","VAR_CALLING_MOBILE_TIME","CALL_DAYS","CALLING_DAYS","CALLED_DAYS","LAST_CALL_TIME","LAST_CALLING_TIME","CALL_DURA_LAST7","CALL_DURA_FIRST20","CALL_DURA_FIRST7","CALL_DURA_LAST20","CALL_RING","CALLING_RING","CALLED_RING","UNICOM_MOBILE_RING","OTHER_MOBILE_RING","UNICOM_FX_RING","OTHER_FX_RING","VALID_CALL_RING","VALID_UNICOM_MOBILE_RING","VALID_OTHER_MOBILE_RING","VALID_UNICOM_FX_RING","VALID_OTHER_FX_RING","CELLID_NUM","CALLING_CELLID_NUM","CALLED_CELLID_NUM","BUSY_CALL_RING","BUSY_CELLID_NUM","BUSY_CALL_DURA","BUSY_CDR_NUM","BUSY_MOBILE_TIME","EASY_CALL_RING","EASY_CELLID_NUM","EASY_CALL_DURA","EASY_CDR_NUM","EASY_MOBILE_TIME","BUSY_CALLING_RING","BUSY_CALLING_CELLID_NUM","BUSY_CALLING_DURA","BUSY_CALLING_CDR_NUM","BUSY_CALLING_MOBILE_TIME","EASY_CALLING_RING","EASY_CALLING_CELLID_NUM","EASY_CALLING_DURA","EASY_CALLING_CDR_NUM","EASY_CALLING_MOBILE_TIME","CALLING_MOBILE_PHONE_CDR","CALLING_TELE_PHONE_CDR","CALLING_UNICOM_PHONE_CDR","CALLING_FX_CDR","CALLING_MOBILE_PHONE_DURA","CALLING_TELE_PHONE_DURA","CALLING_UNICOM_PHONE_DURA","CALLING_FX_DURA","CALLED_MOBILE_PHONE_CDR","CALLED_TELE_PHONE_CDR","CALLED_UNICOM_PHONE_CDR","CALLED_FX_CDR","CALLED_MOBILE_PHONE_DURA","CALLED_TELE_PHONE_DURA","CALLED_UNICOM_PHONE_DURA","CALLED_FX_DURA","LOCAL_CALLING_MOBILE_CDR","LOCAL_CALLING_TELE_CDR","LOCAL_CALLING_UNICOM_CDR","LOCAL_CALLING_FX_CDR","LOCAL_CALLING_MOBILE_DURA","LOCAL_CALLING_TELE_DURA","LOCAL_CALLING_UNICOM_DURA","LOCAL_CALLING_FX_DURA"
"201508","079","1045847","30AAAAAA","2.778777","0.746983","1.959592","0.839825","68.918317","0.697272","44.669453","0.802445","2.907645","0.757199","2.118112","0.882547","25","15","25","20150831210456","20150831193425","916","1555","421","2105","22","10","20","1","19","0","0","3","0","3","0","0","7","5","7","16","6","1093","40","40","16","5","1378","53","56","6","4","329","14","14","8","4","506","21","22","30","3","0","0","702","100","0","0","28","12","1","0","871","242","24","0","30","3","0","0","702","100","0","0"
"201508","079","1162157","30AAAAAA","11.756106","0.768859","8.025583","0.991208","1339.458133","0.958589","770.608143","1.14476","27.529683","0.868179","16.160872","1.028721","31","31","31","20150831192336","20150831192336","7972","35345","10899","34945","105","78","69","19","75","0","11","13","5","8","0","0","179","120","100","67","82","25690","230","552","65","119","17627","244","431","44","52","12455","123","272","53","83","8413","128","215","130","35","78","8","11222","2077","6663","906","134","38","46","5","15333","3662","3300","154","103","32","75","7","9082","2046","6314","894"
"201508","079","1096109","30AAAAAA","9.94637","0.502178","7.097654","0.679097","1432.358605","0.72957","1132.962423","0.88359","26.848168","0.616057","21.176676","0.784321","31","31","31","20150831214710","20150831212014","11337","49525","19407","44864","107","74","78","21","70","0","11","29","6","21","0","1","103","68","70","89","88","42728","437","948","50","32","18134","177","403","64","57","28164","236","594","37","23","11585","88","243","173","40","93","10","11604","2574","24668","706","162","22","82","13","7910","1294","11181","429","133","40","29","10","6447","2574","1592","706"
"201508","079","1058562","30AAAAAA","8.448274","1.111615","6.93854","0.968168","407.103094","1.37041","306.115811","1.178124","11.661189","1.227494","9.437278","1.075133","30","18","27","20150831212907","20150831202355","2919","5993","966","7946","40","30","22","14","23","0","6","9","5","3","0","0","24","17","16","34","20","5482","144","179","24","13","3430","84","106","23","12","3283","85","108","19","10","1394","44","50","72","3","47","6","2431","124","1634","562","66","0","32","7","3167","0","1048","382","63","0","31","6","1921","0","1269","562"
"201508","079","1145733","30AAAAAA","1.964004","0.482679","1.094794","0.618796","148.011737","0.807894","98.764929","0.857678","3.265137","0.599297","2.183061","0.746837","29","13","29","20150831222113","20150831152814","1668","3645","712","4670","55","14","48","5","41","0","5","2","0","2","0","0","50","15","42","43","45","3878","93","119","18","10","1435","25","39","8","14","906","15","24","7","2","591","8","14","20","1","1","1","1434","24","6","33","52","15","10","8","2065","452","667","372","2","0","1","1","121","0","6","33"
"201508","079","1075976","30AAAAAA","7.487068","0.272097","3.779015","0.317478","411.044605","0.388345","200.496398","0.482","10.422301","0.310068","5.116336","0.368852","31","31","31","20150831232602","20150831215344","7654","25158","5845","27697","97","42","79","13","78","0","2","10","1","7","0","0","20","12","16","71","18","18489","447","564","55","10","14323","406","478","28","10","6798","184","220","27","7","6097","185","210","160","7","12","1","6143","614","806","38","235","44","20","1","12293","1821","1253","84","41","6","10","0","2485","419","515","0"
"201508","079","1075657","30AAAAAA","11.160078","1.112419","7.424542","1.383455","833.341534","1.106506","605.170756","1.259548","18.674104","1.020983","13.260223","1.187483","31","30","31","20150831115251","20150831115251","6020","17327","3107","20414","77","60","52","10","55","0","3","13","2","9","0","1","4","4","2","63","4","11862","197","306","39","2","11485","114","261","48","4","6698","105","169","27","2","7716","56","166","60","34","32","5","6977","1219","3473","137","69","36","31","10","4823","1737","1576","363","50","34","22","5","2968","1219","678","137"
"201508","079","200060703","30AAAAAA","6.216188","0.515246","3.724095","0.595087","655.200062","0.644044","425.885335","0.849961","13.468891","0.573538","8.74259","0.742521","31","31","31","20150831221031","20150831215430","10009","21528","5164","27102","52","33","39","11","37","0","2","16","4","11","0","0","45","31","32","39","13","11870","171","295","30","40","19667","203","433","24","7","5880","96","154","24","29","9653","98","211","83","55","33","1","6823","6029","2165","884","62","67","49","1","5289","6888","3698","53","65","32","25","0","4052","1893","1690","0"
"201508","079","1070261","30AAAAAA","5.780138","1.090592","2.314447","0.771482","723.394935","1.139863","167.052274","0.892192","13.524628","1.004304","3.842598","0.798956","30","21","28","20150831213724","20150831142823","2845","16194","1536","17596","68","35","50","5","43","0","12","3","1","2","0","0","33","19","22","63","31","12368","135","281","10","5","6671","24","123","35","18","3573","60","93","1","2","359","3","8","45","3","8","6","2731","245","520","294","39","8","20","18","6820","606","3584","3253","39","3","2","3","2447","245","34","67"
"201508","079","1058407","30AAAAAA","3.29039","0.783426","1.940504","0.946587","263.922682","0.902403","104.177391","0.947929","5.886331","0.825187","2.921187","0.973729","30","20","28","20150831192310","20150829210630","1082","7692","1850","7482","36","12","34","2","27","0","3","3","0","3","0","0","30","13","25","28","23","4712","78","120","16","14","4062","48","94","10","12","1417","25","37","5","5","781","16","23","29","10","1","1","1726","385","42","45","49","20","4","2","4391","1487","105","30","29","10","1","0","1726","385","42","0"
